page,chunk_id,label,bootstrap_score,text_preview,full_text
27,27_2,Procurement,6,"d 
theft relating to the project and to take necessary measures to prevent and address any 
issues in a timely manner, as appropriate. AIIB will also oversee activities related to the 
preparation of tender  documents and the evaluation of tenders/proposals under AIIB 
financing. The specific requirements pertaining to these measures will be outlined in the 
Loan and Project Agreement s and the pr...","d 
theft relating to the project and to take necessary measures to prevent and address any 
issues in a timely manner, as appropriate. AIIB will also oversee activities related to the 
preparation of tender  documents and the evaluation of tenders/proposals under AIIB 
financing. The specific requirements pertaining to these measures will be outlined in the 
Loan and Project Agreement s and the project's tender documents.  
42. AIIB's Know Your Counterparty (KYC) initial assessment revealed that neither 
KMRL nor GOK/GOI, were subject to any adverse news reports. India's score on the 
Transparency International Corruption Perception Index scale for the past five years 
(2018 -2022) i s approximately 40 out of a possible 100, with lower scores denoting  
greater levels of corruption.99 In the World Bank’s Worldwide Governance Indicators on 
Control of Corruption scale, India’s Governance between (2016 and 2021) has ranged 
between -0.31 and -0.29 with the scale ranging from -2.5 (weak) "
27,27_3,Project Management,5,"he World Bank’s Worldwide Governance Indicators on 
Control of Corruption scale, India’s Governance between (2016 and 2021) has ranged 
between -0.31 and -0.29 with the scale ranging from -2.5 (weak) to 2.5 (stable).100  
D. Environmental and Social  
43. E&S Policy (including Standards) and Categorization. AIIB’s ESP, including 
the Environment and Social Standards (ESSs) and the Environmental an...","he World Bank’s Worldwide Governance Indicators on 
Control of Corruption scale, India’s Governance between (2016 and 2021) has ranged 
between -0.31 and -0.29 with the scale ranging from -2.5 (weak) to 2.5 (stable).100  
D. Environmental and Social  
43. E&S Policy (including Standards) and Categorization. AIIB’s ESP, including 
the Environment and Social Standards (ESSs) and the Environmental and Social 
Exclusion List, will apply to AIIB-financed activities under the  project.  ESS 1 
(Environmental and Social Assessment and Management) and ESS 2 (Involuntary 
Resettlement) are applicable to the project. The project has been categorized  as “A” 
based on the E&S impacts due to civil works in a densely urbanized environment, land 
acquisition, occupational health and safety (OHS), vehicular traffic, pollution, dust, noise,  
and vibration anticipated in and around the project ’s footprint.  
44. Instruments.  Metro projects in India do not require statutory environmental 
clearances "
27,27_4,Information Technology,9,"lar traffic, pollution, dust, noise,  
and vibration anticipated in and around the project ’s footprint.  
44. Instruments.  Metro projects in India do not require statutory environmental 
clearances as per national laws. An EIA report , including  an Environmental 
Management Plan (EMP) , was prepared in January 2020 to meet the safeguards  
requirements  of potential  IFI lenders . In compliance...","lar traffic, pollution, dust, noise,  
and vibration anticipated in and around the project ’s footprint.  
44. Instruments.  Metro projects in India do not require statutory environmental 
clearances as per national laws. An EIA report , including  an Environmental 
Management Plan (EMP) , was prepared in January 2020 to meet the safeguards  
requirements  of potential  IFI lenders . In compliance with  the GOI and GOK  Land 
Acquisition, Rehabilitation and Resettlement ( LARR ) policies , and after conducting 
statutory public hearings and establishing cut -off dates, four social impact assessment 
(SIAs)/resettlement plan s (RPs),101 covering the project areas , were  prepared and 
approved by the competent authority of GOK  to facilitate the land acquisition. Based on 
the review of the existing instruments, progress of land acquisition and assessments of 
KMRL’s  capacities , it was found that the prepared instruments  adequately address the 
 
 
99 Transparency International; “ Co"
27,27_5,Information Technology,5," existing instruments, progress of land acquisition and assessments of 
KMRL’s  capacities , it was found that the prepared instruments  adequately address the 
 
 
99 Transparency International; “ Corruption  Perceptions Index ; India ”; 2022; ( link). 
100 Worldwide Governance Indicator ( link). 
101 (i) SIA for Ernakulam - Kakkanad village, (ii) SIA for Ernakulam - Edappally South & Vazhakkala ..."," existing instruments, progress of land acquisition and assessments of 
KMRL’s  capacities , it was found that the prepared instruments  adequately address the 
 
 
99 Transparency International; “ Corruption  Perceptions Index ; India ”; 2022; ( link). 
100 Worldwide Governance Indicator ( link). 
101 (i) SIA for Ernakulam - Kakkanad village, (ii) SIA for Ernakulam - Edappally South & Vazhakkala villages, 
(iii) SIA for  land acquisition  for the construction of the s tations, and (iv) SIA for land acquisition  for widening 
of Public Works Department ( PWD ) road."
28,28_1,Information Technology,7,"23 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
project risks and impacts, consultations, and management approaches, albeit with minor 
gaps  mainly in the areas of  noise and vibration studies, climate assessments, and 
livelihood support  to eligible PAP . To further align them with AIIB E&S requirements, 
KMRL prepare d (i) an EDDR for the EIA (including additional chapters ...","23 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
project risks and impacts, consultations, and management approaches, albeit with minor 
gaps  mainly in the areas of  noise and vibration studies, climate assessments, and 
livelihood support  to eligible PAP . To further align them with AIIB E&S requirements, 
KMRL prepare d (i) an EDDR for the EIA (including additional chapters to cover  climate 
change , noise and vibration, institutional arrangements, and mitigation plans) , and  (ii) a 
Social Due Diligence Report (SDDR) for the social aspects . EDDR and SDDR include 
respective action plans.  The E&S instruments  prepared are aligned with AIIB’s ESP.  
45. Stakeholder Engagement, Consultation, and Information Disclosure. 
During EIA , SIAs/RPs, EDDR and SDDR preparation , KMRL/ GOK  consulted PAP. The 
statutory process of SIA requires extensive consultation at various levels, including a 
mandatory public consultation. These processes and proceedings are documen"
28,28_2,Information Technology,10,"ion , KMRL/ GOK  consulted PAP. The 
statutory process of SIA requires extensive consultation at various levels, including a 
mandatory public consultation. These processes and proceedings are documented in 
the SIA reports . The consultations will continue during project implementation.  SIAs /RPs  
are disclosed on the website of the Ernakulam District .102 In addition, for Phase II , EIA, 
SIAs...","ion , KMRL/ GOK  consulted PAP. The 
statutory process of SIA requires extensive consultation at various levels, including a 
mandatory public consultation. These processes and proceedings are documented in 
the SIA reports . The consultations will continue during project implementation.  SIAs /RPs  
are disclosed on the website of the Ernakulam District .102 In addition, for Phase II , EIA, 
SIAs/RPs , EDDR, SDDR (in English with summaries in Malayalam)  are also disclosed 
on KMRL’s and AIIB ’s websites.  
46. Environmental Aspects. The project will yield environmental benefits, notably 
reducing air pollution from traffic congestion . There is no forest area or notified eco -
sensitive zone within 500 m of the proposed  Right -of-Way (ROW). No wildlife habitat or 
notified eco -sensitive zone under Wildlife Act of 1972 is present within the 10 km radius 
area of proposed R OW, except  for the  Managlavanam Bird Sanctuary , which is present 
at 3 km from the JLN Station. The project "
28,28_3,Information Technology,8,"e zone under Wildlife Act of 1972 is present within the 10 km radius 
area of proposed R OW, except  for the  Managlavanam Bird Sanctuary , which is present 
at 3 km from the JLN Station. The project activities are assessed to have no adverse 
risks and impacts on the Sanctuary, as i t is already surrounded by extensive urban 
activity and the construction or operation stages of the project will n...","e zone under Wildlife Act of 1972 is present within the 10 km radius 
area of proposed R OW, except  for the  Managlavanam Bird Sanctuary , which is present 
at 3 km from the JLN Station. The project activities are assessed to have no adverse 
risks and impacts on the Sanctuary, as i t is already surrounded by extensive urban 
activity and the construction or operation stages of the project will not lead to additional 
negative impact. The construction activities on site will likely result in the loss of 669 
trees , which will be mitigated through  1:10 compensatory  planting and other measures 
set out in the EDDR. During the construction phase, other negative impacts of the project 
will be temporary and reversible, including air pollution and the disposal of construction 
residues, which will be addressed as per EMP. Given that the initial EIA lac ked a 
vibration assessment as well as quantified noise during construction and operation, 
these studies  were undertaken as part of ED"
28,28_4,Information Technology,6,"ch will be addressed as per EMP. Given that the initial EIA lac ked a 
vibration assessment as well as quantified noise during construction and operation, 
these studies  were undertaken as part of EDDR . To enhance  the viability of the noise 
assessment  (given  that the EIA ’s baseline was undertaken in June 2019 ), further noise 
baseline  sampling was carried out  in November  2023 . The cumu...","ch will be addressed as per EMP. Given that the initial EIA lac ked a 
vibration assessment as well as quantified noise during construction and operation, 
these studies  were undertaken as part of EDDR . To enhance  the viability of the noise 
assessment  (given  that the EIA ’s baseline was undertaken in June 2019 ), further noise 
baseline  sampling was carried out  in November  2023 . The cumulative noise and 
vibration assessment found no significant impact along the alignment both in 
construction and operational phase s, with representative sensitive receivers  considered  
for the assessment . A set of measures  to mitigate and minimize the noise and vibration 
impacts  was proposed , integrated into the designs , and considered in the financing plan . 
They  may be subject to change after the contractor ’s assessment and implantation of 
the contractors ’ Environmental and Social Management Plan (CESMP ),103 when the 
exact construction methodology and any minor alignment chan"
28,28_5,Information Technology,6,"ge after the contractor ’s assessment and implantation of 
the contractors ’ Environmental and Social Management Plan (CESMP ),103 when the 
exact construction methodology and any minor alignment changes will be  known. 
Contractors' scope will include implementing noise and vibration mitigation measures 
during construction as well as  the implementation of identified measures for additional 
 
 ...","ge after the contractor ’s assessment and implantation of 
the contractors ’ Environmental and Social Management Plan (CESMP ),103 when the 
exact construction methodology and any minor alignment changes will be  known. 
Contractors' scope will include implementing noise and vibration mitigation measures 
during construction as well as  the implementation of identified measures for additional 
 
 
102 The documents are available on this link. 
103 To address the potential future noise and vibration risks, relevant actions will be added to the CESMP, 
and an appropriate noise monitoring plan will be in place. Furthermore, t he environmental action plan 
prepared as part of the EDDR set out various further studies that need to be completed by the contractor, 
including additional noise assessment during the preparation of the DEDs to further assess the need for 
mitigation measures, such as noise barriers for specific locations."
29,29_1,Information Technology,8,"24 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
receptors. A traffic management plan has already been developed in collaboration with 
the Police and the M otor Vehicles Department. This has been communicated to the 
District Collector and Commissioner of Police in August 2023 to facilitate eas ing of traffic 
during  the construction phase.  
47. Social Aspects. The project's ...","24 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
receptors. A traffic management plan has already been developed in collaboration with 
the Police and the M otor Vehicles Department. This has been communicated to the 
District Collector and Commissioner of Police in August 2023 to facilitate eas ing of traffic 
during  the construction phase.  
47. Social Aspects. The project's design predominantly aligns with the existing road 
medians to minimize the acquisition of private and public lands. The ROW required is 
22 m (if the  metro alignment  is running along the existing road ) and 16.5 m (when it is 
off the existing road ). Land acquisition at certain locations is required for the purposes 
of ROW  (6.15 Km out of 11.2 Km, 50 percent widened so far) , including the off the road 
viaduct portion and to construct the entry and exit buildings for accessing the elevated 
metro stations. The land acquisition  is being carried out in four stages  for a total area of 
4"
29,29_2,Information Technology,8,"ff the road 
viaduct portion and to construct the entry and exit buildings for accessing the elevated 
metro stations. The land acquisition  is being carried out in four stages  for a total area of 
4.05 Ha , which is linearly distributed across the 11.2 km length in multiple parcels . The 
due diligence  concluded that the process was well publicized  and the PAPs as well as 
communities are well...","ff the road 
viaduct portion and to construct the entry and exit buildings for accessing the elevated 
metro stations. The land acquisition  is being carried out in four stages  for a total area of 
4.05 Ha , which is linearly distributed across the 11.2 km length in multiple parcels . The 
due diligence  concluded that the process was well publicized  and the PAPs as well as 
communities are well aware of th e project, entitlements and grievance channels. About 
50 percent of the total land acquisition is completed ,104 and the remaining land  is 
expected to be acquired  during the first half of 2024.  There is sufficient land available to 
initiate  project works.  The rehabilitation and resettlement (R&R) compensation is based 
on the R&R policy of GOK  (2017) , which entails 15 mutually exclusive compensations , 
and aligned with AIIB’s ESP . R&R packages are declared for two stretches and fully 
disbursed to one stretch.  In the SDDR,  the compensations paid  were assessed  and i"
29,29_3,Information Technology,5,"ly exclusive compensations , 
and aligned with AIIB’s ESP . R&R packages are declared for two stretches and fully 
disbursed to one stretch.  In the SDDR,  the compensations paid  were assessed  and it 
was concluded that the process to determine the market value , valuation  of assets  
(including trees ), calculating the final award value are carried out  transparently and 
according to the rele...","ly exclusive compensations , 
and aligned with AIIB’s ESP . R&R packages are declared for two stretches and fully 
disbursed to one stretch.  In the SDDR,  the compensations paid  were assessed  and it 
was concluded that the process to determine the market value , valuation  of assets  
(including trees ), calculating the final award value are carried out  transparently and 
according to the relevant policies  and as such meet s the replacement cost principle for 
land as well as assets.105 The due diligence identified 16 action points regarding social 
aspects , including requesting the government for indexation o f R&R compensation , 
gender, labor and working conditions, livelihoods, ongoing monitoring and supervision , 
and an action plan was agreed. A livelihoods support plan is included in the SDDR, 
which will be further enhanced based on the additional needs identified during 
implementation.  KMRL will mobilize budget for implementation of the plan.  The ongoing 
process will"
29,29_4,Information Technology,9,"uded in the SDDR, 
which will be further enhanced based on the additional needs identified during 
implementation.  KMRL will mobilize budget for implementation of the plan.  The ongoing 
process will be closely monitored by PT.    
 
48. Community, OHS, Labor and Employment Conditions. KMRL will stipulate 
and monitor adequate health and safety measures for the workers, and tendering 
documents i...","uded in the SDDR, 
which will be further enhanced based on the additional needs identified during 
implementation.  KMRL will mobilize budget for implementation of the plan.  The ongoing 
process will be closely monitored by PT.    
 
48. Community, OHS, Labor and Employment Conditions. KMRL will stipulate 
and monitor adequate health and safety measures for the workers, and tendering 
documents include requirements on how contractors will address health and safety 
issues . KMRL will also require contractors for civil works to comply with all applicable 
labor laws and regulations. EDDR include s OHS provisions as well as templates for the 
OHS Management. Impacts and risks associated with migrant labor influx are assessed 
to be low. However,  KMRL will require contractors to implement and enforce workers’ 
codes of conduct to mitigate gender -based violence (GBV) - and sexual exploitation , 
abuse  and harassment  (SEA H)-related risks that may arise. As the project ’s works will 
b"
29,29_5,Information Technology,13,"nd enforce workers’ 
codes of conduct to mitigate gender -based violence (GBV) - and sexual exploitation , 
abuse  and harassment  (SEA H)-related risks that may arise. As the project ’s works will 
be implemented in dense urban areas, and in proximity to residential properties, 
 
 
104 The land acquisition progress for the four sections is as follows: (i) Palarivattam to Kakkanad  (2.01 Ha): 
it...","nd enforce workers’ 
codes of conduct to mitigate gender -based violence (GBV) - and sexual exploitation , 
abuse  and harassment  (SEA H)-related risks that may arise. As the project ’s works will 
be implemented in dense urban areas, and in proximity to residential properties, 
 
 
104 The land acquisition progress for the four sections is as follows: (i) Palarivattam to Kakkanad  (2.01 Ha): 
it is fully completed in all respects and impacted 353 titleholder PAPs and 84 PAPs eligible for R&R ; (ii) JLN 
stadium to Palarivattam  (0.36 Ha): it  is nearing completion , with 59 title holder PAPs and 24 PAPs eligible 
for R&R ; (iii) Kakkanad to Info Park Expressway Entrance  (0.01 Ha): it is in advanced stage, with no PAPs 
eligible for R&R ; and (iv)  entry exit at station buildings (1.65 Ha): it is in early stages.  
105 There are a number of  pending court cases (most of them, pertaining to  enhancement of compensation) , 
which are expected to no t significantly jeopardize land acqui"
29,29_6,Information Technology,2,"a): it is in early stages.  
105 There are a number of  pending court cases (most of them, pertaining to  enhancement of compensation) , 
which are expected to no t significantly jeopardize land acquisition.  For further details, see SDDR.","a): it is in early stages.  
105 There are a number of  pending court cases (most of them, pertaining to  enhancement of compensation) , 
which are expected to no t significantly jeopardize land acquisition.  For further details, see SDDR."
30,30_1,Information Technology,6,"25 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
measures focused on traffic management, community health and safety  will be also 
implemented . Contractors will be required to submit site -specific  Community Health and 
OHS Management Plan for review and approval by KMRL before works commencement . 
 
49. Grievance Redress Mechanism (GRM).  PT reviewed the existing customer 
...","25 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
measures focused on traffic management, community health and safety  will be also 
implemented . Contractors will be required to submit site -specific  Community Health and 
OHS Management Plan for review and approval by KMRL before works commencement . 
 
49. Grievance Redress Mechanism (GRM).  PT reviewed the existing customer 
care, grievance channels and management processes at KMRL. KMRL already has 
several channels for grievance/feedback submission including  (i) a toll-free helpline, (ii) 
written feedback forms (available at station s’ customer cares ), (iii) an e mail, (iv) a 
WhatsApp chat bot, (v) social media channels , (vi) station controller (SCR) mobiles, and 
(vii) Metro Promo Center.  KMRL has an established escalation process for addressing 
complaints received from these channels. For  instance, for Phase 1B works, the 
construction -related grievances are received at  the field/site office.  These "
30,30_2,Information Technology,7,"hed escalation process for addressing 
complaints received from these channels. For  instance, for Phase 1B works, the 
construction -related grievances are received at  the field/site office.  These complaints 
are then examined by a technical team comprising KMRL Field Officer (Deputy General 
Manager rank ), the Project Management Consultant  (PMC ) and the contractor. If the 
complaint is not ...","hed escalation process for addressing 
complaints received from these channels. For  instance, for Phase 1B works, the 
construction -related grievances are received at  the field/site office.  These complaints 
are then examined by a technical team comprising KMRL Field Officer (Deputy General 
Manager rank ), the Project Management Consultant  (PMC ) and the contractor. If the 
complaint is not resolved at the field level, it is escalated to the General Manager 
(Projects) , who  will examine the complaint and will provide a suitable resolution. For 
Phase II, the GRM is already functioning  with a similar structure, which has been  further 
strengthened by taking into account the lessons learnt  from Phase I . A dedicated 
grievance form has been  already made available for  Phase II  on KM RL’s website ,106 
and these grievances  are being handled by respective designated officials and the 
resolution  feedback  is/will be  provided through the website/direct communication . With 
"
30,30_3,Information Technology,8,"n KM RL’s website ,106 
and these grievances  are being handled by respective designated officials and the 
resolution  feedback  is/will be  provided through the website/direct communication . With 
these additional measures , the GRM is found to be meeting AIIB ’s requirements , 
including submission of grievances  anonymously , work place’s  concerns,  and worker s’ 
concerns . All the land acq...","n KM RL’s website ,106 
and these grievances  are being handled by respective designated officials and the 
resolution  feedback  is/will be  provided through the website/direct communication . With 
these additional measures , the GRM is found to be meeting AIIB ’s requirements , 
including submission of grievances  anonymously , work place’s  concerns,  and worker s’ 
concerns . All the land acquisition and compensation -related grievances are addressed 
by the district  authority  competent  for the implementation of overall land acquisition , 
awards , and payment of compensation. Locally appropriate public consultation and 
disclosure processes were and will be used to disseminate information about the GRM.  
 
50. Project -Affected People’s Mechanism (PPM).  AIIB’s Policy on the Project -
affected Peoples Mechanism (PPM) applies to th is project. The PPM has been 
established by AIIB to provide an opportunity for an independent and impartial review of 
submissions from project -a"
30,30_4,Information Technology,8,"ect -
affected Peoples Mechanism (PPM) applies to th is project. The PPM has been 
established by AIIB to provide an opportunity for an independent and impartial review of 
submissions from project -affected people who believe they have been or are likely to be 
adversely affected by AIIB’s failure to implement th e ESP in situations when their 
concerns cannot be addressed satisfactorily through ...","ect -
affected Peoples Mechanism (PPM) applies to th is project. The PPM has been 
established by AIIB to provide an opportunity for an independent and impartial review of 
submissions from project -affected people who believe they have been or are likely to be 
adversely affected by AIIB’s failure to implement th e ESP in situations when their 
concerns cannot be addressed satisfactorily through the project -level GRM or the 
processes of AIIB’s Man agement . For information on how to make submissions to the 
PPM, please visit the PPM web site.107  
E. Gender Equality and Social Inclusion   
51. KMRL has implemented significant gender initiatives over the last years that 
include women employment not only in the management, but also as train operators, 
station controllers, or engineers. As above -mentioned, through Kudumbashree, KMRL 
engaged transge nder people in facility management services at stations , such as 
housekeeping, security , and ticketing. Phase II possesses the poten"
30,30_5,Information Technology,5,"As above -mentioned, through Kudumbashree, KMRL 
engaged transge nder people in facility management services at stations , such as 
housekeeping, security , and ticketing. Phase II possesses the potential to make a 
significant contribution towards the promotion of gender equality and the empowerment 
of women. The allocatio n of personnel for frontend customer facilitation is intended to 
 
 
106...","As above -mentioned, through Kudumbashree, KMRL 
engaged transge nder people in facility management services at stations , such as 
housekeeping, security , and ticketing. Phase II possesses the potential to make a 
significant contribution towards the promotion of gender equality and the empowerment 
of women. The allocatio n of personnel for frontend customer facilitation is intended to 
 
 
106 The form is available at this link. 
107 The PPM’s website is available at this link."
31,31_1,Information Technology,9,"26 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
be sourced from the Economically Weaker Sections (EWS) category, mirroring the 
approach employed in Phase I. In addition, Phase II includes the implementation of 
gender -inclusive amenities, such as designated areas for women and passengers with 
special nee ds, the installation of breastfeeding pods at stations, and the provisi...","26 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
be sourced from the Economically Weaker Sections (EWS) category, mirroring the 
approach employed in Phase I. In addition, Phase II includes the implementation of 
gender -inclusive amenities, such as designated areas for women and passengers with 
special nee ds, the installation of breastfeeding pods at stations, and the provision of 
diaper changing tables. The project will promote social inclusion as it seeks to address 
in its design the access issues of marginalized and vulnerable groups, such as (i) PWD, 
(ii) the elderly, (iii) children, and (iv) members of the lesbian, gay, bisexual, transgender 
people, queer, and intersexual (LGBTQI+) community. Within KMRL, incidents of sexual 
harassment at the workplace are addressed by and internal committee which also 
conducts regular sessions with staff on women safety at workplace. For further details, 
see Annex 4.  
F. Climate Change  
52. The project inherently su"
31,31_2,Information Technology,12,"ddressed by and internal committee which also 
conducts regular sessions with staff on women safety at workplace. For further details, 
see Annex 4.  
F. Climate Change  
52. The project inherently supports climate change mitigation by encouraging the 
shift from road -based private transport to more sustainable alternatives with reduced 
GHG emissions. In terms of climate change adaptation, EIA, ...","ddressed by and internal committee which also 
conducts regular sessions with staff on women safety at workplace. For further details, 
see Annex 4.  
F. Climate Change  
52. The project inherently supports climate change mitigation by encouraging the 
shift from road -based private transport to more sustainable alternatives with reduced 
GHG emissions. In terms of climate change adaptation, EIA, the preliminary climate and 
geological risk screening (by using Aware) and EDDR identified several climate -related 
hazards, including floods, increased precipitation, high temperature, increased wind 
speed, and water unavailability. A set of adaptatio n measures to be included into the 
DEDs  to address these risks were proposed in the EDDR, as listed in Annex 5 . The 
project can be considered 100 percent climate  mitigation  finance as its main activity 
(urban public transport) is included in the list of eligible activities under the “ Common 
Principles for Climate Mitigation Finance T"
31,31_3,Information Technology,12,"d 100 percent climate  mitigation  finance as its main activity 
(urban public transport) is included in the list of eligible activities under the “ Common 
Principles for Climate Mitigation Finance Tracking ”108 and complies with the necessary 
criteria for this category as it demonstrates a modal shift towards a lower carbon mode 
achieving net savings of 123,700.8 tCO2/year in the first year of...","d 100 percent climate  mitigation  finance as its main activity 
(urban public transport) is included in the list of eligible activities under the “ Common 
Principles for Climate Mitigation Finance Tracking ”108 and complies with the necessary 
criteria for this category as it demonstrates a modal shift towards a lower carbon mode 
achieving net savings of 123,700.8 tCO2/year in the first year of operation .109 In addition, 
the climate adaptation finance of this project has been estimated at 15 percent because 
as above -mentioned,  it includes  a number of  structural  adaptation  measures .110 
Consequently, the project can be tagged as 100 percent climate finance.  
G. Risks and Mitigation Measures  
53. Based on the  assessment, an overall “medium ” risk rating  has been assigned  to 
the project , mainly due to the risks pertaining to  potential delays in land acquisition , the 
GOI and G OK budget allocation , potential  time and cost overruns and  E&S impacts 
during construct"
31,31_4,Project Management,5," 
the project , mainly due to the risks pertaining to  potential delays in land acquisition , the 
GOI and G OK budget allocation , potential  time and cost overruns and  E&S impacts 
during construction  and operation . The identified risks and the proposed mitigation 
measures are presented in the table below .  
 
 
 
 
 
 
 
108 Joint MDB Group; “ Common Principles for Climate Mitigation Finan..."," 
the project , mainly due to the risks pertaining to  potential delays in land acquisition , the 
GOI and G OK budget allocation , potential  time and cost overruns and  E&S impacts 
during construction  and operation . The identified risks and the proposed mitigation 
measures are presented in the table below .  
 
 
 
 
 
 
 
108 Joint MDB Group; “ Common Principles for Climate Mitigation Finance Tracking ”; December 5, 2023; 
(link).  
109 This has been estimated in EDDR.  
110 E.g., elevated plinth level on stations and elevated footpaths/walkways tackling the risk of increasing 
floods and the head -hardened steel rail tracks tackling the risk of high temperatures. The climate adaptation 
percentage has been calculated using the proportional approach set up on the following document:  Joint 
MDB Group; “Joint Methodology for Tracking Climate Change Adaptation  Finance ”; 2022; (link)."
32,32_1,Information Technology,12,"27 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
Table 3.  Summary of Risks and Mitigation Measures  
Risk Description  Assessment  Mitigation Measures  
Program/Project Preparation Risks  
Technical design s 
▪ Lack of quality assurance 
mechanism for designs 
and works . Low ▪ KMRL will be supported by DDC and 
GC to prepare and supervise the 
designs preparation.  
▪ AIIB wil...","27 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
Table 3.  Summary of Risks and Mitigation Measures  
Risk Description  Assessment  Mitigation Measures  
Program/Project Preparation Risks  
Technical design s 
▪ Lack of quality assurance 
mechanism for designs 
and works . Low ▪ KMRL will be supported by DDC and 
GC to prepare and supervise the 
designs preparation.  
▪ AIIB will be actively engaging  with 
KMRL, GC and design build 
contractors to finalize the  designs  to 
adequate  quality .  
Program/Project Implementation Risks  
Implementation capacity   
▪ Limited staffing and  
experience of KMRL in 
certain areas.  Low ▪ KMRL will be supported by GC and 
some individual consultants may be 
hired to strengthen the team .   
Land acquisition  
▪ Delay in land acquisition.  Medium  ▪ More than 50 percent of land required 
for the project has been  acquired  and 
the remaining land  is being acquired .  
▪ Funds are already deposited with the 
land acquisition  "
32,32_2,Information Technology,13,"isition.  Medium  ▪ More than 50 percent of land required 
for the project has been  acquired  and 
the remaining land  is being acquired .  
▪ Funds are already deposited with the 
land acquisition  authority.  
Financial management  
▪ Timely GOI and GOK 
budget allocation and 
fund release . 
▪ Absence of specific 
project FM Manual may 
lead to shortcomings in 
the application and use of 
proj...","isition.  Medium  ▪ More than 50 percent of land required 
for the project has been  acquired  and 
the remaining land  is being acquired .  
▪ Funds are already deposited with the 
land acquisition  authority.  
Financial management  
▪ Timely GOI and GOK 
budget allocation and 
fund release . 
▪ Absence of specific 
project FM Manual may 
lead to shortcomings in 
the application and use of 
project funds.  
▪ Finance staff’s l imited 
experience with MDB’s 
requirements  may lead to 
inadequate financial 
reporting  at the initial 
stage .    Medium  ▪ AIIB will closely monitor the budget 
allocation from GOI and GOK and  
undertake implementation review 
mission s biannually . 
▪ KMRL has develop ed FM chapters 
under PIM. 
▪ KMRL’s finance team will agree the 
final draft of the first IUFR SOE with the 
Bank’s FM Specialist . 
Procurement of large and complex packages  
▪ Complex and large  civil 
works  packages to be 
procured.  
▪ Limited competition for 
RS&T packages.  Low ▪ G"
32,32_3,Procurement,10,"IUFR SOE with the 
Bank’s FM Specialist . 
Procurement of large and complex packages  
▪ Complex and large  civil 
works  packages to be 
procured.  
▪ Limited competition for 
RS&T packages.  Low ▪ GC will support the development of 
robust tender document s.  
▪ KMRL’s Phase I experience will add 
value.  
▪ Universal procurement will be adopted 
following AIIB’s Procurement Policy.  
Time and c...","IUFR SOE with the 
Bank’s FM Specialist . 
Procurement of large and complex packages  
▪ Complex and large  civil 
works  packages to be 
procured.  
▪ Limited competition for 
RS&T packages.  Low ▪ GC will support the development of 
robust tender document s.  
▪ KMRL’s Phase I experience will add 
value.  
▪ Universal procurement will be adopted 
following AIIB’s Procurement Policy.  
Time and cost overrun  
▪ Delay in implementation 
due to unforeseen 
reasons . Medium  ▪ Phase I is already constructed and 
operat ed by KMRL. GC and contractor 
joint experience under the guidance of 
KMRL will be useful to execute the 
project in a timely manner.  
E&S impacts during construction  and operation"
33,33_1,Information Technology,7,"28 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
Risk Description  Assessment  Mitigation Measures  
▪ Due to the urban 
environment of the 
project, impacts are 
expected to the 
surrounding community 
including traffic  
congestion , dust, noise, 
and vibration.  High ▪ The contractors will be  required to 
prepare site -specific management 
plans to mitigate the impacts, whic...","28 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
Risk Description  Assessment  Mitigation Measures  
▪ Due to the urban 
environment of the 
project, impacts are 
expected to the 
surrounding community 
including traffic  
congestion , dust, noise, 
and vibration.  High ▪ The contractors will be  required to 
prepare site -specific management 
plans to mitigate the impacts, which will 
be approved by KMRL prior to 
commencement of works.  
▪ A traffic management plan has already 
been prepared  and communicated to 
the District Collector and 
Commissioner of Police to facilitate 
easing of traffic during  construction.  
▪ Noise and vibration  impact during the 
operation will be mitigated through 
enhanced design s, as necessary , and 
follow ing the mitigation measures 
outlined in the E DDR and CESMP."
